7B1B8E6E	Jonathan J Cadiz
7ED3F879	Steven H Simon
7BA726BD	John K Tsotsos
7F04775A	S Brennan
80AEB29A	Foster Provost
7B6A79E9	R Manmatha
71D736C1	Mitsumasa Koyanagi
7BB4C74F	Marie Ouimet
7A3464F9	Fei Sha
0FE9C50C	Simon Winwood
805AB7F5	Jim Zelenka
84826C27	Jana Van Greunen
7FC5FBDC	Christopher A Stein
7F73EA27	Thomas Porter
7C6127A4	David Kortenkamp
83569612	John Jannotti
809B71C1	Ross Messing
8499F76E	Matt Deeds
7F111287	Clarence Ellis
82A47F45	Mahmut Kandemir
7DDEE853	Tom M Mitchell
2C2AFC0A	William H Mangionesmith
7D1B8436	Christopher K R T Jones
07176EC6	Shmuel Safra
022F22C2	Hassan Takabi
84B278C8	Raymod J Mooney
7DD5BADA	Robert Hsieh
80FC08A1	Jeffrey A Dean
7B083A67	Harold Thimbleby
7E01E053	Ray Strong
5AD6E738	M R Civanlar
768481A9	David Rochberg
77AA33A7	Dennis Geels
82280871	Ruth Silverman
862A742A	Marcelo Fiore
0BBC892C	Radhika Gowaikar
7F765C7B	Edward S Davidson
80F8E48C	Stephen J Fink
7FF48FF8	Anmol Sheth
76A10160	John Lazzaro
7D4C0E2F	Michael Ernst
79C4E119	Victor Lavrenko
76A24E19	Nick Lanham
7EA0F78C	Collin Jackson
7D62B772	Len Bass
096521A3	Marina Meila
751A4E3D	Richard M Karp
0C711B58	Tanya Widen
588365C8	Ignacio Thayer
4A690B14	Marius Leordeanu
7DD7E6F0	Ya Zhang
7F5F8A60	John Ross Quinlan
7B4613A0	Rada Mihalcea
3CDC5E8C	Claudiu S Firan
7B2CA691	Ivor W Tsang
854FFF30	George Robertson
59320C12	Poonacha Kongetira
7C40DCA6	Peter D Turney
109D7586	Pierreantoine Manzagol
7D0616D5	Mayur Datar
7D85BF6F	Jamison D Collins
754C6140	N J A Sloane
0F2E0F58	Stefano Spaccapietra
08F00CCF	Rutger Hofman
77E32738	Arun Penmetsa
7E078B4E	Jon Mcauliffe
84BAA2A5	Richard A Huff
7F3F202B	Andre Neumann
82432F25	Rakesh Kumar
761F03A5	Thomas Marill
2836BC11	U C Fiebig
7BC96AD5	Rami Melhem
7D2C0B4A	J R Horgan
8024D60E	W A Steiner
7E5DB6AC	Merrick L Furst
7BC6851E	Nathan Ickes
7684686C	Graham Cormode
084FFCAC	Andre Scedrov
84E14735	P M Melliarsmith
7EDD42F9	Xiao Li
80C8A062	C R Whitley
7DFA0C02	Adam Stoler
08BF3BB3	Gary Marchionini
770A9918	M Mintz
81C9BDB8	Prateek Jain
8098985B	Jean Gordon
7F3CD7CA	Weiying Ma
7E568CCF	Christopher H Brooks
7CC49464	Brian Zill
80B66696	Anees Shaikh
11AC56CF	Pascal O Vontobel
76AC2D10	Raghu Ramakrishnan
7F56748E	Enhong Chen
7E7F84AF	Pinhan Ho
0F429AA7	Clark Thomborson
8036FCA7	George G Harman
7E4D7DA8	Yun Zhai
7C554884	Xuejia Lai
84A0D6BC	Yong Wang
7EBE9361	Neal Cardwell
809D24EE	Stephen Brewster
7E2F8E57	Junling Hu
7D9652F5	Hongjiang Zhang
5F91B200	Deva Ramanan
798A913D	Iddo Drori
80EF5846	David Paul Mccarthy
81EC4096	Sebastian Egner
0DFFD556	Gregory Piatetskyshapiro
80D0D239	Kyuseok Shim
7FEF0C25	Yuchee Tseng
7FF88C4A	Chenyong Cher
7F620AC9	Philip Bohannon
5E12B3B1	Chalermek Intanagonwiwat
858BBCDB	N V Padmanabhan
77876735	Feifei Li
01226591	Noam Nisan
71273188	Sandeep K Singhal
11E26C48	Ashwin R Bharambe
7E6AAE45	David S Johnson
715A06F9	Anastasios Tombros
7EA68E73	Ning Cai
863D65CF	Rahul Razdan
7909A2DE	Padmanabhan Krishnan
7B76A339	Sebastian Modersheim
84C4AD9B	Dave Fuhry
1BCA8A58	Madhu Sudan
7649035B	George Kollios
0830F77B	Nathan Linial
7E660D8F	Craig Saunders
22B5379A	Christian Lebiere
862088D8	Martin R Frank
800027F2	Christian Heath
7FA2F1F8	Bastian Leibe
7EDAB80E	Jan O Pedersen
85C12E4F	Marc Unangst
10C0ED30	Michael R Genesereth
81A3A558	A R Hammons
7FD99396	Oriol Vinyals
7DA9FC2C	Donovan A Schneider
5DFF6F7F	Amos Fiat
6C0311F4	Sem Borst
77893723	Xiaofeng He
802E234B	Alberto Medina
80985301	David Brumley
78322C72	N Vijaykrishnan
764DBF28	Nichael Lynn Cramer
7ECA58D7	Tiejun Zhao
0AD2E7F5	William M Spears
801FF368	Vinay K Chaudhri
7DEDED34	Michel Dubois
7C3377CC	Henrik Stewenius
0C07A6C6	Dan Boneh
7FD51D59	Xiaoyin Wang
7D021C92	Jeff Magee
7DBE0DCC	Charles R Moore
7941CAB0	Robert Feldt
75EE195B	Anthony Stentz
7EF8ADC5	Fredo Durand
84E00A9D	Thomas O Binford
8035E7F3	Ryan Williams
7D8ECFD5	Inho Kang
7DF4AA73	Aamer Jaleel
7F1AA18B	Prasant Mohapatra
7F297646	Zesheng Chen
8124DFF1	D J Costello
800D1628	Eric C Jensen
803CEB05	Konrad Schindler
7EAF66FC	Paul H J Kelly
7C3EBE19	Thomas B Sebastian
70D46DEC	Eric Jul
0D4FAD5A	W M Turski
752FF1FF	Reid Priedhorsky
7E5056B1	Brian M Blum
04F3746C	Robert J Mceliece
8218DD21	Stefan Decker
27DC87D1	Ben Shneiderman
816393DE	Yuan Yu
86204B3F	Yair Frankel
84A36AC7	Ulrich Kremer
80D9DF77	Tudor Leu
769FBB04	V Narayanan
7B679480	Pat Helland
78F3983A	H Vincent Poor
7776715A	Myungcheol Doo
80C8793E	Dieter Koller
8630DBE6	Lichun Bao
7F7754FB	George J Pappas
76112731	Dirk Kutscher
5ADF5062	Stephen E Fienberg
7F9A78DE	Hongkai Zhao
2A5EF2B2	K Rustan M Leino
75135C4A	Michael Merritt
7D75BEC9	Lei Jiang
84EF0817	K H Kim
26DA576C	Keshav Pingali
6C239C48	Peter A Flach
6363FB34	Konstantinos Daniilidis
80F3D46D	David F C Brewer
80859B97	Liang He
8632E918	Jeffrey S Chase
810FB58B	Sugih Jamin
7A046857	Daniela Florescu
7D18AECB	Yoram Moses
7EF1DB5B	Fay W Chang
12806CFF	Steve Deneefe
79170B11	Alin Dobra
790E4026	John A Stankovic
7CE51CFD	Jack Muramatsu
50C0DDA8	Yee Whye Teh
06FF61AF	Sepandar D Kamvar
79B11D9B	Craig Silverstein
7D1FE4C6	Jiangchuan Liu
02C79120	Tom Lookabaugh
274FA286	David Maxwell Chickering
7C1E7FB6	Pradeep Khosla
7DDABB6D	Purdy Ho
0F09FFB1	Erich M Nahum
7D6B1173	Michael Oren
7F313175	Barry D Wessler
5B8EED07	Taher Elgamal
7DDA7A0B	Aoying Zhou
10A7E8D0	Constantinos Dovrolis
7E732084	Pat Morin
80C416DE	D Brooks
7D799AF8	Thanhvu Nguyen
76230F36	Jie Gao
8091EF3D	Ghaleb Abdulla
7E4F87EF	Daniel Shawcross Wilkerson
023DAA19	Ian F Akyildiz
7F569256	Wilson C Hsieh
7AC8217E	Robert P Gruber
2B04780B	Derek L Eager
81475B7F	Michael Wu
81294432	Dharma P Agrawal
0BCF6F6C	Davide Bertozzi
809AB65C	Martin Farach
863DB6A2	Elwyn R Berlekamp
848062C4	Yong Qiang He
7586E697	Nagendra Modadugu
7D85FDA1	Maged M Michael
5E80D7F3	U M Fayyad R Uthurusamy
79BFAADB	Tim Leek
75C5D47E	Ruby C Weng
7FD6E2BA	Luca Cardelli
8550948A	Piramanayagam Arumuga Nainar
806F6044	Jeremy J Carroll
79C00DD3	Markus Stadler
0E13D44F	Kamalakar Karlapalem
7539B823	Manfred Ruschitzka
