067F47EA	Telcordia Technologies
04B01E55	Dresden University of Technology
03AC92A1	Politehnica University of Bucharest
0A685F63	University of The District of Columbia
0AC8DC36	Computer Laboratory University of Cambridge
0757A922	Reykjavik University
00B28C35	Griffith University
04B1BEA6	University of Newcastle
4FFD5378	Panasas
05DAB8C0	Polytechnic Institute of New York University
4C777452	Community Emergency Response Team
0011EAC4	University of Southern California
0A9AAD1D	Federal University of Sao Carlos
0810AAFA	University of Wisconsin Madison
4E8AC000	West
02191A3B	Faculty of Information Technology University Demal Bijedic of Mostar
0395F208	Concordia University
4E2EC568	Amazon Com
4F10C1EB	French Institute For Research in Computer Science and Automation
0C4DDE77	Nec Corporation of America
00F87E5D	College of William Mary
4D2B1EE6	Centre National De La Recherche Scientifique
0999D47E	Indian Institutes of Technology
06EB0D45	University of Rome Tor Vergata
077F8F10	Ericsson Radio Systems
035786DA	University of Rennes
4F6FF56A	General Electric
5019D871	Los Alamos National Laboratory
0B78A057	Sandia National Laboratories
4F4B6B43	Mayo Clinic
0CA4B187	University of Victoria
34DF872C	University of Amsterdam
01F1D439	University of Saskatchewan
0092C1B8	Polytechnic University of Catalonia
4DDC5EF5	Mitsubishi
01444027	Charles University in Prague
0845F019	Ulster University
0ABDAF90	Yokohama National University
09E03D32	Oregon Health Science University
0875EA92	University of British Columbia
037D28F2	Deutsche Telekom
01124466	University of Sao Paulo
0C3C3D64	Trinity College
052F5108	Royal Institute of Technology
04BE3F72	University of Pennsylvania
02AD1047	Mitre Corporation
07DAEA4C	Seagate Technology
042826F4	Tokyo Metropolitan University
0968AECA	Bourns College of Engineering
0617689C	University of Paris Sud
046A60E1	Cryptography Research
4DCF4588	Jpmorgan Chase
09995E41	University of Freiburg
4CF99586	Google
074BDB0A	California Institute of Technology
05776AD7	Saarland University
05A3DA1F	University of Twente
078A8AE9	University of Science and Technology of China
4D4B6A15	New York State Department of Environmental Conservation
4E191EE9	Citrix Systems
3333E44B	Virginia Tech
07862589	Queen S University Belfast
01A8C383	University of Michigan
04F99C7A	It University of Copenhagen
05E904C7	Ntt Docomo
5001790A	Ubisoft Montreal
04EAD036	Auburn University
087362FC	Tensilica
07C34834	University of Minnesota
4EC16293	National Institute of Standards and Technology
4FBE47A5	Rsa
0527E2AB	Monroe Community College
045D80B8	Wheaton College
04F2C66A	Eindhoven University of Technology
0839CEE3	University of Arizona
013FBDE4	Mit Lincoln Laboratory
0A63B3A3	Technion Israel Institute of Technology
012BCF09	Wright State University
02B09E25	University College London
4DDD26E0	Ericsson
02B554FC	University of Texas At San Antonio
4D7B21FB	Serc Reliability Corporation
092C7553	Nortel
0357CA53	University of Tartu
35238AAD	Daimler Ag
0A4ACFBD	Nanyang Technological University
0C4400FF	Cornell University
340818D0	University of Winnipeg
0434D6D0	Oberlin College
096500C2	University of Cape Town
0228E4F2	University of Bristol
09E1988B	University of Melbourne
07D2B6B9	Oregon State University
01F71AD0	Yale University
0B8BA2BB	Tilburg University
05B090CE	University of California Berkeley
0C2AE079	Open University
34ED541F	Rwth Aachen University
4FF45383	Ibm
0B1B8D25	University of Passau
0B002509	Royal Holloway University of London
092F5EFF	Shandong University
070DED1B	Depaul University
0653F611	University of Central Florida
0B4EC93C	University of Konstanz
08E4D2D6	University of Antwerp
099C0285	Steel Authority of India
0AC1438B	University of Bremen
4C7A9B63	At T
373A6845	Leipzig University
081E3F30	Harvard University
0159FE4E	Williams College
09EA1A37	Queen Mary University of London
0A575E93	Parc
07CB626B	Pennsylvania State University
02D4EDF8	Imperial College London
0127901A	Orange S A
4D1139C8	Ford Motor Company
0B8B0D91	Utrecht University
07668367	Conservatoire National Des Arts Et Metiers
04BEE6D7	University of Birmingham
08D69EB4	Lawrence Berkeley National Laboratory
04EDE9AE	Lear Corporation
06601420	Florida Institute of Technology
09630970	Kaist
4D1FB58D	Emc Corporation
350410CF	University of Hong Kong
036AC4C4	North Dakota State University
07793CF2	Sra International
4F98606C	Spss Inc
02BC2BCD	Willow Garage
085ADB71	University of Connecticut
013A0DA1	University of Kent
024C0B9C	Asian Institute of Technology
004B1FBC	Fraunhofer Society
01C3C549	Ecole Normale Superieure
4EBC7FCF	Arbor Networks
0B003FA6	Georgetown University
09998A84	University of New Hampshire
01776B6C	University of Massachusetts Amherst
4DBAC46F	Nvidia
07D8D616	University of Denver
08B4B7FF	Harvard Medical School
