7E8F0359	METEOR: An Automatic Metric for MT Evaluation with Improved Correlation with Human Judgments
7E3B8B8C	SimRank: a measure of structural-context similarity
7720C383	An accelerated gradient method for trace norm minimization
7DA45C9E	Power controlled dual channel (PCDC) medium access protocol for wireless ad hoc networks
7EBE2011	Trajectory based forwarding and its applications
7E8D899C	Statistical bandwidth sharing: a study of congestion at flow level
7B8A28D1	Shilling recommender systems for fun and profit
7F2117CD	Clustering Sequences with Hidden Markov Models
7B8A178E	Correlation structure of the discrete wavelet coefficients of fractional Brownian motion
80809E8C	Improving recommendation lists through topic diversification
808A043B	Slicing object-oriented software
5AB0CCEC	Inferring High-Level Behavior from Low-Level Sensors
79AD7620	Financial incentives and the "performance of crowds"
7DB2A276	Efficient influence maximization in social networks
7FE52CF8	The SR-tree: an index structure for high-dimensional nearest neighbor queries
7E742C9D	Memory resource management in VMware ESX server
7B00A455	Highly concurrent scalar processing
7CD6D37E	Evaluating evolutionary algorithms
7DB4A929	Duplicate Record Detection: A Survey
7F2C562D	Compositional dynamic test generation
7AE6DA33	On lattices, learning with errors, random linear codes, and cryptography
7616C000	Authoritative sources in a hyperlinked environment
7E34539E	Scaling internet routers using optics
0867B9D6	Advances in Cryptology-EUROCRYPT''91
5B876262	Multi-Instance Kernels
802682ED	Evaluation of the Raw Microprocessor: An Exposed-Wire-Delay Architecture for ILP and Streams
587FF480	The nonlinear nature of plans
7DF5B377	Taking CSCW Seriously: Supporting Articulation Work (1992)
757A3C57	The effect of adding relevance information in a relevance feedback environment
7A955FF9	Mining knowledge-sharing sites for viral marketing
7EA0FAC5	Three models for the description of language
7713A1AA	Transforming out timing leaks
7E5B0E5F	Restful web services vs. "big"' web services: making the right architectural decision
7F1545FF	The Impact of Performance Asymmetry in Emerging Multicore Architectures
7FDF6FEB	Detecting near-duplicates for web crawling
7D7542E3	A taxonomy for and analysis of tangible interfaces
7EF37F50	Silhouette-based human identification from body shape and gait
7D211930	An information theoretic approach to rule induction from databases
818DCF72	The hB-tree: a multiattribute indexing method with good guaranteed performance
7F8DBD8E	A proportional share resource allocation algorithm for real-time, time-shared systems
7A589A91	Boundary recognition in sensor networks by topological methods
77A32932	Static detection of dynamic memory errors
772BA642	A robust and scalable clustering algorithm for mixed type attributes in large database environment
7DFD496F	Transactional memory: architectural support for lock-free data structures
78C402CC	Solutions to hidden terminal problems in wireless networks
7E313885	Distance Metric Learning with Application to Clustering with Side-Information
803CB2EA	A fair non-repudiation protocol
7E011350	Sequences of Games: A Tool for Taming Complexity in Security Proofs
7D467E1D	Routing in multi-radio, multi-hop wireless mesh networks
816E688D	Proving the correctness of reactive systems using sized types
7A99312D	Keys for XML
7D9F946A	A probabilistic approach to spatiotemporal theme pattern mining on weblogs
7BA37E4B	The coverage problem in a wireless sensor network
8099394F	Tussle in cyberspace: defining tomorrow's internet
801FF0F1	Aurora: a new model and architecture for data stream management
7EAC7DD0	Partition based spatial-merge join
7DFC8B88	A novel algorithm for color constancy
751CCC0C	On the hardness of approximate reasoning
0B8CD9CD	Thumbs up or thumbs down
86286A38	A Framework for Representing Knowledge
7559F4D9	Practical selectivity estimation through adaptive sampling
808A234D	PSFQ: a reliable transport protocol for wireless sensor networks
5DD1CE54	NUSMV: A New Symbolic Model Verifier
7DDDEA7D	Small forwarding tables for fast routing lookups
7A493513	Generating summaries of multiple news articles
591AD09A	Making Mix Nets Robust for Electronic Voting by Randomized Partial Checking
7F1E58E4	Software architecture: foundations, theory, and practice
58608B3E	Genetic Algorithms for the Traveling Salesman Problem
7E546D91	Joint congestion control and media access control design for ad hoc wireless networks
802A2E92	Mixminion: design of a type III anonymous remailer protocol
8019B062	Tracking across multiple cameras with disjoint views
5A53F24A	Support Vector Machine Active Learning with Application sto Text Classification
814C662F	The integrated microbial genomes (IMG) system
7AF6507C	Wavelet analysis and synthesis of fractional Brownian motion
7E7CD842	Nearest neighbor pattern classification
7A7B596C	Candidate Indistinguishability Obfuscation and Functional Encryption for all Circuits
80564684	The intelligent use of space
7610A249	Support vector machines: hype or hallelujah?
7EED66DF	A decision procedure for bit-vectors and arrays
7D106BDB	Dynamic thermal management for high-performance microprocessors
7E61417D	Capacity of a mobile multiple-antenna communication link in Rayleigh flat fading
816E04F7	Capacity and delay tradeoffs for ad hoc mobile networks
801095EC	Distributed topology control for power efficient operation in multihop wireless ad hoc networks
7DAD007C	Statistical schema matching across web query interfaces
809A7013	Encrypted key exchange: password-based protocols secure against dictionary attacks
7CE99825	The theory of signal detectability
8143616D	Algorithms for quantum computation: discrete logarithms and factoring
784AF03B	Combining fuzzy information from multiple systems (extended abstract)
7E96EF14	Storage management and caching in PAST, a large-scale, persistent peer-to-peer storage utility
7EF652ED	Knowledge Discovery and Data Mining: Towards a Unifying Framework
7EDA94D1	Single Image Haze Removal Using Dark Channel Prior
05DA3D56	Activity recognition from accelerometer data
7FA02078	Constructing attack scenarios through correlation of intrusion alerts
77A9B487	Closest-point problems
7728278C	The performance of universal encoding
7D51F8A5	Semi-supervised Clustering by Seeding
7B803AB0	Query caching and optimization in distributed mediator systems
7B95CFCB	Predicting positive and negative links in online social networks
7EE53E4B	Kalman filter estimation of the number of competing terminals in an IEEE 802.11 network
7FE2EB10	Secure space-time communication
7AE715A9	A new model for packet scheduling in multihop wireless networks
7E7D1154	Achieving single channel, full duplex wireless communication
7E879D7D	Automated Selection of Materialized Views and Indexes in SQL Databases
7D578E76	Floor acquisition multiple access (FAMA) for packet-radio networks
795968EF	ViST: a dynamic index method for querying XML data by tree structures
7DFB2D7D	Investigating the energy consumption of a wireless network interface in an ad hoc networking environment
8174E805	Prototyping Bubba, a highly parallel database system
7EFAC52B	Alternative implementations of two-level adaptive branch prediction
7DC4F9BF	Predictive and adaptive bandwidth reservation for hand-offs in QoS-sensitive cellular networks
7A531E76	Random oracles are practical: a paradigm for designing efficient protocols
7F51A24A	Augmenting the organizational memory: a field study of answer garden
807856A1	Characterizing flash memory: anomalies, observations, and applications
7DA1A4C1	A universal algorithm for sequential data compression
80BB7114	Evaluating stream buffers as a secondary cache replacement
7E216BC5	4-phase sequences with near-optimum correlation properties
808372A3	Locating and bypassing routing holes in sensor networks
7ECB358E	The complex dynamics of collaborative tagging
7EB98697	Practical Byzantine fault tolerance
7DEAFFD2	Symbolic model checking: 10 20 states and beyond
7DCD3875	Joint scheduling and power control for wireless ad-hoc networks
801DB01A	Controlling the mobility of multiple data transport ferries in a delay-tolerant network
7F493B26	An energy-efficient MAC protocol for wireless sensor networks
7D029D6F	Stable recovery of sparse overcomplete representations in the presence of noise
80961550	On the temporal analysis of fairness
7D064E5D	Service oriented architectures: approaches, technologies and research issues
8184ACD5	A Factor 2 Approximation Algorithm for the Generalized Steiner Network Problem
7F204042	Maximum Margin Clustering
780370C9	Resource and performance tradeoffs in delay-tolerant wireless networks
7E2F005C	CMC: a pragmatic approach to model checking real code
7F78CD53	Fang: a firewall analysis engine
7D5F2AA8	Mapping the world's photos
801277CB	Mining frequent itemsets with convertible constraints
7E94E097	Integrating compression and execution in column-oriented database systems
7F171A10	Large system performance of linear multiuser receivers in multipath fading channels
7F3E27B7	Multiagent Planning with Factored MDPs
7858F0C0	Opportunistic media access for multirate ad hoc networks
75EEE896	PuLSE: a methodology to develop software product lines
801A658D	End-to-end performance and fairness in multihop wireless backhaul networks
794AEB38	Deriving concept hierarchies from text
856EB163	The X-tree: an index structure for high-dimensional data
84241B2C	A unified framework for tree search decoding: rediscovering the sequential decoder
7DEBC499	Probabilistic reliable dissemination in large-scale systems
7EB105FF	Scalability and accuracy in a large-scale network emulator
7E8A47D1	ECPP: Efficient Conditional Privacy Preservation Protocol for Secure Vehicular Communications
7EAE7B52	Stability and delay of finite-user slotted ALOHA with multipacket reception
8011C171	Topologically-aware overlay construction and server selection
7346CADE	Maximum Entropy Markov Models for Information Extraction and Segmentation
7F3FE67D	Security and Privacy Challenges in Cloud Computing Environments
805775E1	Design and Management of 3D Chip Multiprocessors Using Network-in-Memory
80D00D5A	Extrapolation methods for accelerating PageRank computations
5D49BE56	Detecting format string vulnerabilities with type qualifiers
77ED8AED	SEQUEL: A structured English query language
58EF3B98	The PASCAL recognising textual entailment challenge
75C9080C	Writing on dirty paper (Corresp.)
81301DE5	Efficient content location using interest-based locality in peer-to-peer systems
812199AE	Obfuscation of executable code to improve resistance to static disassembly
815BD922	On the effectiveness of DNS-based server selection
59431EC5	Construction of Abstract State Graphs with PVS
7CFA18E3	Incorporating non-local information into information extraction systems by Gibbs sampling
7B4F1D84	Fisher information and stochastic complexity
0AEBFB27	SWORD: A Developer Toolkit for Web Service Composition
7E2ABDD0	Cache-conscious structure layout
7D6FC1B1	From XML schema to relations: a cost-based approach to XML storage
7FEC5C75	Intrusion detection with neural networks
5CDD0A96	Journaling versus soft updates: asynchronous meta-data protection in file systems
5E47D70E	The primary-backup approach
766FA1C6	Understanding image intensities
6AC7714D	Probabilistic Matrix Factorization.
8138A16C	Periodic resource model for compositional real-time guarantees
7E25A6C5	Progressive skyline computation in database systems
7689A075	MASSIVE: a collaborative virtual environment for teleconferencing
097FE30C	The condensed nearest neighbor rule
7D9DF2F8	A view of three decades of linear filtering theory
81537D10	The capacity of low-density parity-check codes under message-passing decoding
5AE20539	The Case against Accuracy Estimation for Comparing Induction Algorithms
8034C216	SybilLimit: A Near-Optimal Social Network Defense against Sybil Attacks
7ADC0807	Distance-based outliers: algorithms and applications
7FDBE2C5	Can ISPS and P2P users cooperate for improved performance?
7A046F7B	Energy-efficient computing for wildlife tracking: design tradeoffs and early experiences with ZebraNet
723CA48A	Efficiently Publishing Relational Data as XML Documents
8165DD41	A framework for clustering evolving data streams
05787811	Limited Discrepancy Search
8111BF0D	Trace cache: a low latency approach to high bandwidth instruction fetching
7C64A48E	Contracts: specifying behavioral compositions in object-oriented systems
5859151D	Timing Assumptions and Verification of Finite-State Concurrent Systems
077DEC7B	Indoor segmentation and support inference from RGBD images
5C917964	The emergence of networking abstractions and techniques in TinyOS
80A56483	Using directional antennas for medium access control in ad hoc networks
7BEB788E	Efficient software-based fault isolation
76E6BF79	Survivable WDM mesh networks. Part I-Protection
7E9C9008	Discriminative random fields: a discriminative framework for contextual interaction in classification
7F637EF0	Support Vector Regression Machines
7E1045AE	Token Coherence: decoupling performance and correctness
7D56A82E	Toward integrating feature selection algorithms for classification and clustering
7FD0BD90	Diagnosing multiple faults
78AF8BCA	The merge/purge problem for large databases
5E447F34	Selectivity Estimation Without the Attribute Value Independence Assumption
7DA7D466	CloseGraph: mining closed frequent graph patterns
7FB4861E	AdaRank: a boosting algorithm for information retrieval
6226C462	Residual Algorithms: Reinforcement Learning with Function Approximation
0A088B47	Learning Limited Dependence Bayesian Classifiers
7F2AF16F	Random waypoint considered harmful
803500E1	White space networking with wi-fi like connectivity
7E6F9BFE	Enabling conferencing applications on the internet using an overlay muilticast architecture
7FD57843	The essence of command injection attacks in web applications
7EACF3BB	Design challenges of technology scaling
802D7103	Topic modeling with network regularization
7A7DBA33	A Rank-Metric Approach to Error Control in Random Network Coding
7F0F6BB4	Statistical properties of community structure in large social and information networks
7DFF5FA4	Index selection for OLAP
7EFBA1DE	Localization from connectivity in sensor networks
77E0EF7E	Balancing push and pull for data broadcast
7DFEEBD6	Content-boosted collaborative filtering for improved recommendations
76325CAC	Emerging topic detection on Twitter based on temporal and social terms evaluation
7E38D10B	Aligning sentences in parallel corpora
80B4E244	Value locality and load value prediction
7E671A00	The effect upon channel capacity in wireless communications of perfect and imperfect knowledge of the channel
7FFA26B8	Template-based wrappers in the TSIMMIS system
7ECDB999	A Model for Learning the Semantics of Pictures
7EA91922	Dissecting Android Malware: Characterization and Evolution
5CED5F34	Scaling Up the Accuracy of Naive-Bayes Classifiers: A Decision Tree Hybrid
0BA86CE1	Enhanced Aperiodic Responsiveness in Hard Real-Time Environments
80849D49	Energy-effective issue logic
7F240FF0	A New Learning Algorithm for Blind Signal Separation
7EE5D60B	Scheduling with dynamic voltage/speed adjustment using slack reclamation in multiprocessor real-time systems
7F6A2C20	Compact E-Cash
7F3064A8	Limits of control flow on parallelism
7F84E84C	Coding for Errors and Erasures in Random Network Coding
6D461F01	Achieving minimum-cost multicast: a decentralized approach based on network coding
7FFB9CBD	Learning structural SVMs with latent variables
7D391C2E	Information Needs in Collocated Software Development Teams
7FF8E8D5	Identification of coordination requirements: implications for the Design of collaboration and awareness tools
80590B1E	Predicting Internet network distance with coordinates-based approaches
7ECC3EF1	Distributional clustering of English words
7907AFE9	The Capacity Region of the Gaussian Multiple-Input Multiple-Output Broadcast Channel
7F4F53AD	Portfolio approach to information systems
806F6C2A	Learning to match and cluster large high-dimensional data sets for data integration
813A4191	The effects of a visual fidelity criterion of the encoding of images
80626F45	Out-of-Sample Extensions for LLE, Isomap, MDS, Eigenmaps, and Spectral Clustering
7F342E7D	Determining semantic similarity among entity classes from different ontologies
7D8ADF97	SRDA: An Efficient Algorithm for Large-Scale Discriminant Analysis
7D8B6406	Hiding information and signatures in trapdoor knapsacks
7CC73FDD	Information retrieval using a singular value decomposition model of latent semantic structure
7B5CDE3D	The complexity of some polynomial network consistency algorithms for constraint satisfaction problems
7DE9912C	Impact of Human Mobility on the Design of Opportunistic Forwarding Algorithms
80E1E703	Strips: A new approach to the application of theorem proving to problem solving
7A4492D8	Hierarchical geometric models for visible surface algorithms
5BDED7D2	Zero-knowledge undeniable signatures
7FCC7E89	Semantic taxonomy induction from heterogenous evidence
799E13B1	Removal policies in network caches for World-Wide Web documents
81732684	Proof-carrying authentication
787F6788	A dichromatic framework for balanced trees
7D0F4DF1	Combination of multiple classifiers using local accuracy estimates
7D2D6CDC	Ensembling neural networks: many could be better than all
58331DDC	A Practical Secret Voting Scheme for Large Scale Elections
7FADECE9	Using Schema Matching to Simplify Heterogeneous Data Translation
7DA8F192	WebTables: exploring the power of tables on the web
8002A3F1	Just relax: convex programming methods for identifying sparse signals in noise
7FD12235	Kalman filtering in two dimensions
5ECDDCB8	Triangle mesh compression
76EFC96C	Pattern recognition and reading by machine
5EBE998E	The computational brain
7EE1DCF0	A comparison of dynamic branch predictors that use two levels of branch history
81D201DE	A theory and methodology of inductive learning
7EB4B1B7	Improving web search ranking by incorporating user behavior information
81515F1C	Fjording the stream: an architecture for queries over streaming sensor data
7D8AEF80	A global matching framework for stereo computation
5D04EDE9	Composing mappings among data sources
7DA326B7	A Conservation Law for Generalization Performance
7F6137CA	Cache Conscious Indexing for Decision-Support in Main Memory
1374D952	Patterns in property specifications for finite-state verification
7D98DC39	A survey on content-based retrieval for multimedia databases
77539CA9	Hop-count filtering: an effective defense against spoofed DDoS traffic
80DB8FC9	Opportunistic beamforming using dumb antennas
801B5980	Learning to Coordinate Behaviors
7CE0ED3A	Unification-based pointer analysis with directional assignments
7F6C5C35	Contrastive estimation: training log-linear models on unlabeled data
7EE10EB0	The small-world phenomenon: an algorithmic perspective
7D41947D	Learning and inferring transportation routines
7EAAFA5F	A self-configuring RED gateway
7B21C72A	Fast algorithms for projected clustering
7B54C5A8	Scaling personalized web search
7FD2ACDB	A simple weight decay can improve generalization.
7D10DD3A	Fading channels: information-theoretic and communications aspects
80329528	Quantization index modulation: a class of provably good methods for digital watermarking and information embedding
7DF3BABF	Target-dependent Twitter sentiment classification
7FADD29A	The working set model for program behavior
80101F53	Unsupervised named-entity extraction from the web: an experimental study
80789CB5	Limits on interconnection network performance
5875568E	Toward Optimal Active Learning through Sampling Estimation of Error Reduction
83E037E8	Matching words and pictures
7A2FF337	Extensible security architectures for Java
76D7F9A5	A protocol-independent technique for eliminating redundant network traffic
5F897D79	FASTUS: A Finite-state Processor for Information Extraction from Real-world Text
7B6CA250	Energy aware lossless data compression
812D399B	ALVINN: an autonomous land vehicle in a neural network
7DBF1B75	Benchmarking attribute selection techniques for discrete class data mining
7D64ABE1	Sum capacity of the vector Gaussian broadcast channel and uplink-downlink duality
7E43DF55	On optimum recognition error and reject tradeoff
7DBBDFBF	Data on air: organization and access
7D08900A	Multiagent negotiation under time constraints
7D72D45F	Razor: a low-power pipeline based on circuit-level timing speculation
81737B67	Protecting privacy using the decentralized label model
7E6825D1	Cost-based query scrambling for initial delays
801BA082	Performance-effective and low-complexity task scheduling for heterogeneous computing
79F3CD41	Reference reconciliation in complex information spaces
75F0258A	Robust temporal processing of news
76B43E95	Exposure in wireless Ad-Hoc sensor networks
7FA112BA	On the asymptotic eigenvalue distribution of Toeplitz matrices
8115719D	Scalable inference and training of context-rich syntactic translation models
80572AD7	BiToS: Enhancing BitTorrent for Supporting Streaming Applications
80F5AE33	Semi-supervised Discriminant Analysis
7FA26FC6	Rumor routing algorthim for sensor networks
7DC493AA	Graph indexing: a frequent structure-based approach
7CF54808	DART: directed automated random testing
7CEE121E	Adaptive web search based on user profile constructed without any effort from users
594FAA24	An Interaction-based Language and its Typing System
73A81DF5	Distributed detection of node replication attacks in sensor networks
7B6FC456	Global optimizations for parallelism and locality on scalable parallel machines
7FC713C6	Wide baseline stereo matching
811B3396	Using Orthogonal and Quasi-Orthogonal Designs in Wireless Relay Networks
7F6CD221	Scalable flow-based networking with DIFANE
813FE5B7	Interference Alignment and the Degrees of Freedom of Wireless $X$ Networks
7B6C0DBF	Algebraic methods in the theory of lower bounds for Boolean circuit complexity
81645F48	Medium access control protocols using directional antennas in ad hoc networks
7734E4D4	Congestion control in IP/TCP internetworks
814EC56C	Ultraconservative Online Algorithms for Multiclass Problems
7D345E1B	Towards automatic generation of vulnerability-based signatures
814FE9F0	Maximum margin planning
805C2B7E	A model of queries for object-oriented databases
80F8BABC	Self-Managed Systems: an Architectural Challenge
7DEC3218	Video-on-demand broadcasting protocols: a comprehensive study
7AC4BD08	How dynamic is the Web?
7E3C539A	SubVirt: implementing malware with virtual machines
80FEF09E	Smooth view-dependent level-of-detail control and its application to terrain rendering
7E090E67	A 5-GHz Mesh Interconnect for a Teraflops Processor
6E5480BE	A signature scheme with efficient protocols
77F68273	Implementing global memory management in a workstation cluster
76CC8B07	Mechanism Design via Differential Privacy
7F4BA266	Dynamic server allocation to parallel queues with randomly varying connectivity
75F63D94	Automatic programming of behavior-based robots using reinforcement learning
786F9DDB	A programming language
7B886D8E	CCS expressions, finite state processes, and three problems of equivalence
7EF16D8D	Practical data-oriented microaggregation for statistical disclosure control
7D2DAD4E	Group formation in large social networks: membership, growth, and evolution
7C18CDE3	The S LAM project: debugging system software via static analysis
78AF4857	Signal energy distribution in time and frequency
803E9E58	PowerPack: Energy Profiling and Analysis of High-Performance Systems and Applications
801B50CC	The multidimensional wisdom of crowds
7EBE6F0A	Avoiding Energy Holes in Wireless Sensor Networks with Nonuniform Node Distribution
5F73F8EC	Sampling-Based Estimation of the Number of Distinct Values of an Attribute
7AB93667	Tutorial notes on partial evaluation
77F48EC4	\sc WebWatcher}: a tour guide for the Word Wide Web
7C213D1B	Sampling from a moving window over streaming data
80B52175	NLTK: the Natural Language Toolkit
78DABA46	Recovery of the three-dimensional shape of an object from a single view
80A3B22A	Learning Depth from Single Monocular Images
7CA0ED0F	Economy of description by automata, grammars, and formal systems
7B6075B9	Two theorems on random polynomial time
81DA78BC	An image synthesizer
80AAE70C	EasyLiving: Technologies for Intelligent Environments
7D467EBD	Smooth sensitivity and sampling in private data analysis
7E96B5ED	A new approach to the maximum flow problem
7DBE7BCA	An efficient solution to the five-point relative pose problem
79519B54	Implementing distribution and persistence aspects with aspectJ
80A3E822	Adaptive Data Broadcast in Hybrid Networks
7ECEED30	Design of capacity-approaching irregular low-density parity-check codes
7B55F6B1	Proximal support vector machine classifiers
77D511C6	Global value numbers and redundant computations
5FD5AB11	MindReader: Querying Databases Through Multiple Examples
