75D11493	Gerard Verfaillie
7E1F7F18	Jeffery F Naughton
7A0EAE43	Shunichi Amari
B11C792E	Qian Chen
4AF71521	Alexei Czeskis
7FA3E146	Gene M Amdahl
7CFCD5AA	Pascale Fung
85D7AD6F	R Miller
7E7B4477	Dan Roth
82D295FB	Bob Gilbert
764E2398	Martin Zinkevich
32A894D8	Edward Cutrell
09354748	Aapo Kyrola
7B5DA040	David F Bacon
99C499AE	Cong Wang
7F89DDB0	Daniel M Roy
7E8C845F	Konrad Lai
13F5F9F7	Pierre Jouvelot
805C809C	Huan Chang
7D47758B	Kenneth G Paterson
7E29A2A0	Xifeng Yan
849BB63E	Jens Lischka
7DD1A94B	Kiri L Wagstaff
22BDD3D0	Jorn Thielecke
74D765D4	Guruduth Banavar
7E938E79	Anindya Banerjee
7E859372	Mark Boddy
816B6FFD	Ardsher Ahmed
7F08534C	Dawn Song
80D0821D	Randall D Beer
80FDD030	Marilyn W Friedman
7CE880DC	Kunlung Wu
7978CA36	Alaa Muqattash
5E0F6927	Irith Pomeranz
7BA000C8	Walter F Tichy
7FC17F4D	Chris Wilkerson
806B9098	John R Searle
8137C6BB	D Henderson
7E20DC19	Matthias Scholz
0D288248	Walid G Aref
7ECB1EA0	Robert M Gray
782C09BC	Vijay Janapa Reddi
83D87F37	Franz Josef Och
7EFDD4DA	Ralf Schneider
7D418581	Hui Ding
7F420F01	Peter Schwarz
80C547A3	Keunwoo Lee
84780B00	Sandeep Phadke
7DE0D6C3	Alasdair Grant
7B84E1BA	Adam Kowalczyk
79CF8982	Peter M Pawlowski
7FBDB953	Sunpyo Hong
0761F59B	Lashon B Booker
80DB787B	V Scott Gordon
836B47D2	Matthew Richardson
116E93F4	David Mazieres
8461D5EC	Laurent El Ghaoui
86308538	Hector Levesque
1900E626	J Gregory Steffan
7D58C4D3	Mendel Rosenblum
85128A7E	Guru M Parulkar
0FA717EE	Yoelle S Maarek
7497DACE	Dipayan Gangopadhyay
775166D1	Andrew J Viterbi
823C93CB	Gunner Danneels
78BC75A4	Hugo Krawczyk
8211366C	David S Rosenblum
7DE649FE	Greg Seidman
7E45FF9C	Richard H Lathrop
7F17CD54	J M Wang
73329F67	Ayhan Demiriz
0735C54B	Sanjay Ghemawat
80DC1388	V T Prabhakaran
837BBCE8	Kannan Ramchandran
7DF98D00	Xiaoyuan Wu
05800146	Pascal Van Hentenryck
7845F085	Doug Beeferman
862685C6	Erik K Paulson
7F257E0F	Lihua Yuan
13AB7AD0	Fredrik Valeur
7E3F6EBF	Rohit Bhatia
7DD06051	S Seshadri
86266610	Swarup Acharya
7ECFA1E4	Stephen G Walker
8112C1CB	Kevin R Walker
0DF3FAAC	Lihi Zelnikmanor
84C9792A	Kimming So
805F4DAA	Greg Friedman
7FF2B881	Seth A Myers
1042D22A	John Heidemann
7D893F19	Lingxuan Hu
7C5451F3	Lance Fortnow
7D33F464	Yichen Xie
7A0C9360	Michael D Breitenstein
82764EEB	Joe Kilian
7869615E	Lewis Girod
7CF80834	Nenad Jovanovic
7EDFE259	E L Lindholm
8135D056	Galen H Sasaki
059599F4	Mira Mezini
7D4F3EF6	Bo Liz
7D4657DB	Daryl T Lawton
7FD6E2BA	Luca Cardelli
7D1F2AD5	Randy Kerber
2C765714	W Habbard
305334AA	C K Wong
821EE436	Peter Elias
5DDB7150	Sacha Fosseparisis
