0010A9BE	American Association of School Administrators
02642F55	University of Oxford
501B6986	Acxiom
046A60E1	Cryptography Research
031EE95E	Ohio State University
04E0D7FF	Fairchild Semiconductor International Inc
008ED3A6	University of Bologna
096500C2	University of Cape Town
0477FFD3	Carnegie Mellon University
0462335D	Mathematical Sciences Research Institute
05E79D01	Tsinghua University
04935CE8	University of San Francisco
09E03D32	Oregon Health Science University
06194FDE	Rutgers University
0626251D	Florida State University
09630970	Kaist
05282E0D	University of Texas At Austin
08E4D2D6	University of Antwerp
08D6D550	Netherlands Organisation For Applied Scientific Research
078BB0FF	Department of Trade and Industry
0B1B8D25	University of Passau
0395F208	Concordia University
0A2FAFA5	Duke University
36F83BAF	Astron
00784876	University of Glasgow
04F89294	Rockefeller University
004E3300	Ecole Polytechnique Federale De Lausanne
03AC92A1	Politehnica University of Bucharest
083839C7	North Carolina State University
03C436D1	University At Buffalo
4C777452	Community Emergency Response Team
056EA0E2	University of Sheffield
087AC4EF	University of Nottingham
00CE2969	Texas State University
09287CDD	University of Leicester
006952C5	Brandeis University
0764F090	University of Copenhagen
04756336	University of Tokyo
04F99C7A	It University of Copenhagen
01FE29EA	University of Massachusetts Boston
07698D3B	University of London
067461C8	University of Pisa
00B0637E	Ecole Normale Superieure De Cachan
06188F1E	Insead
05DAB8C0	Polytechnic Institute of New York University
08B4B7FF	Harvard Medical School
0619822C	Karlsruhe Institute of Technology
02B09E25	University College London
031C31BE	University of Waikato
4DCF4588	Jpmorgan Chase
4D5D795C	International Computer Science Institute
0A9812F0	Japan Advanced Institute of Science and Technology
09CC60BD	Fordham University
074BDB0A	California Institute of Technology
09299093	University of Ottawa
0C00C58C	Bae Systems
4EBC7FCF	Arbor Networks
021B9D77	Naval Postgraduate School
0349EE07	University of California
0045D9F6	Technical University of Berlin
4F872588	At T Labs
00B28C35	Griffith University
005DC2E8	University of Minnesota Duluth
06ACAD91	Northwestern University
066A71BC	University of Notre Dame
0298F6CF	University of Wisconsin Milwaukee
00493E54	Southwest Jiaotong University
0757A922	Reykjavik University
059DE5E4	Indian Institute of Technology Kanpur
025B9122	University of Warwick
0B002509	Royal Holloway University of London
01444027	Charles University in Prague
4FBE47A5	Rsa
01C915CD	Center For Information Technology
0A685F63	University of The District of Columbia
4EB3BEDB	Cnet
4E68E0C9	University of Maryland Medical Center
4F4B6B43	Mayo Clinic
087362FC	Tensilica
0A2510E5	University of Pittsburgh
01028E71	Clarkson University
4F799D2F	Motorola
03FED160	Carleton University
036AC4C4	North Dakota State University
0617689C	University of Paris Sud
05F6E42A	University of Stuttgart
08BCC883	Beckman Institute For Advanced Science and Technology
08D7E515	National Chiao Tung University
084D01D3	Seoul National University
0C3BAC1F	Nankai University
061BA55B	Supelec
038D97B3	Institute of Mathematical Sciences Chennai
