7E713DB3	DBXplorer: a system for keyword-based search over relational databases
78EABD34	Human detection using partial least squares analysis
7EAEB390	Locality-sensitive binary codes from shift-invariant kernels
81330B9F	The security of triple encryption and a framework for code-based game-playing proofs
7F130B3F	Perracotta: mining temporal API rules from imperfect traces
7EA91922	Dissecting Android Malware: Characterization and Evolution
81CBB4BE	Estimation of illuminant direction, albedo, and shape from shading
5AD185B2	Learning Belief Networks in the Presence of Missing Values and Hidden Variables
7F9527D6	The ant system applied to the quadratic assignment problem
7EF673EB	Phase shift pulse codes with good periodic correlation properties
7DB5BE83	Unitary space-time modulation for multiple-antenna communications in Rayleigh flat fading
798EA2CE	The spread of the Witty worm
7EA77290	A genetic algorithm for multiprocessor scheduling
768E4F69	A symbolic representation of time series, with implications for streaming algorithms
5CCB382B	STRIPS: a new approach to the application of theorem proving to problem solving
80015F5D	Fault detecting experiments for sequential circuits
80A76618	Mining sequential patterns
7DE4D2F6	Charting a Manifold
7581CF34	Methods for task allocation via agent coalition formation
79D3F850	Implementation techniques for main memory database systems
7FC7A0E5	A New Sense for Depth of Field
7EA0F8D6	Modeling TCP throughput: a simple model and its empirical validation
7DE5C7B3	Finding generalized projected clusters in high dimensional spaces
7EDA1458	Supervised learning from incomplete data via an EM approach
80925941	Daisy: Dynamic Compilation For 10o?40 Architectural Compatibility
80EA64E8	An algebraic definition of simulation between programs
6F7F7AD3	A Data-Clustering Algorithm on Distributed Memory Multiprocessors
76320AF4	Pseudorandom generators for space-bounded computations
81686E46	Similarity search for web services
808F7FA8	Coalition structure generation with worst case guarantees
7F6A2C20	Compact E-Cash
7F3441E6	Query chains: learning to rank from implicit feedback
7BFB4015	Matrix multiplication via arithmetic progressions
7A61329F	Qualitative process theory
7FE1355E	Attributive concept descriptions with complements
7E4B3B07	Checkpoint processing and recovery: towards scalable large instruction window processors
7DD8D58D	Instance Weighting for Domain Adaptation in NLP
810FCAD7	Convex position estimation in wireless sensor networks
803F7FA6	AND/OR graph representation of assembly plans
7DCFE85B	WFQ: Worst-case Fair Weighted Fair Queueing
75E0C9C9	The VideoWindow system in informal communication
806D3D69	Integrating Classification and Association Rule Mining
78309510	A framework for knowledge-based temporal abstraction
80680376	Generalized privacy amplification
7D5D0C71	Neighborhood preserving embedding
7D8BAF4A	Ad hoc-VCG: a truthful and cost-efficient routing protocol for mobile ad hoc networks with selfish agents
7E2FD8AB	The AVISPA tool for the automated validation of internet security protocols and applications
800702EB	Single-ISA Heterogeneous Multi-Core Architectures for Multithreaded Workload Performance
7C273E05	Constraints on deformable models: recovering 3D shape and nongrid motion
808FA028	A nonstationary Poisson view of Internet traffic
80FCD18B	Effective site finding using link anchor information
805CD994	Corpus-based induction of syntactic structure: models of dependency and constituency
77A778B6	The equivalence problem for regular expressions with squaring requires exponential space
8166DDF3	Granularity in software product lines
8134412F	What you always wanted to know about Datalog (and never dared to ask)
7FEF82E0	Considerations of sample and feature size
7AE715A9	A new model for packet scheduling in multihop wireless networks
7DF5B377	Taking CSCW Seriously: Supporting Articulation Work (1992)
7B166415	A language/action perspective on the design of cooperative work
80307C6F	A retrieval technique for similar shapes
7784DDED	Compute-and-Forward: Harnessing Interference Through Structured Codes
811C0F9E	Coded diversity on block-fading channels
81F3C990	Efficient locking for concurrent operations on B-trees
75B44FB5	One-way functions are essential for complexity based cryptography
7D3F3C5F	In VINI veritas: realistic and controlled network experimentation
7A027BDE	Approaches to passage retrieval in full text information systems
7D64AA08	The influence of variables on Boolean functions
806D64DE	ROUGE: A Package for Automatic Evaluation of Summaries
807A5E95	NVIDIA Tesla: A Unified Graphics and Computing Architecture
812B0C05	FastMap: a fast algorithm for indexing, data-mining and visualization of traditional and multimedia datasets
812C5F5F	A cost-effective, high-bandwidth storage architecture
7F448B0C	Predicting defects using network analysis on dependency graphs
7EA7B780	A study of active queue management for congestion control
85DB1CED	Finding related pages in the World Wide Web
5F610116	Efficient communication-storage tradeoffs for multicast encryption
80F44DE7	View integration: a step forward in solving structural conflicts
802DAB81	Qilin: exploiting parallelism on heterogeneous multiprocessors with adaptive mapping
794A90C8	Finding refactorings via change metrics
7D1B3755	Pig latin: a not-so-foreign language for data processing
7D319B58	Picture coding using pseudo-random noise
65F7BD0F	KLEE: unassisted and automatic generation of high-coverage tests for complex systems programs
75FB860D	A large scale, homogeneous, fully distributed parallel machine, I
5A0CE9DC	Ciphertext-Policy Attribute-Based Encryption: An Expressive, Efficient, and Provably Secure Realization
7E0CC7E8	Optimal brain damage
7E899C65	Automatically finding patches using genetic programming
7E48FB40	A kernel method for multi-labelled classification
7EC1184D	Encapsulation of parallelism in the Volcano query processing system
67E36EB4	SyncScan: practical fast handoff for 802.11 infrastructure networks
7B1A3EAD	An architecture for wide-area multicast routing
83C745D3	Optimistic fair exchange of digital signatures
7D86BA1D	Context-sensitive information retrieval using implicit feedback
7ECEFC4E	SplitStream: high-bandwidth multicast in cooperative environments
7E23B526	A key-management scheme for distributed sensor networks
7D2AD34C	Design and evaluation of a compiler algorithm for prefetching
5C2344FE	REASONING ABOUT KNOWLEDGE AND ACTION
8047A757	Barrier coverage with wireless sensors
81722ED4	Context-aware query suggestion by mining click-through and session data
81F2DD6F	Lambda calculi with types
7F353CF4	Collusion-secure fingerprinting for digital data
7A060BF4	Trajectory clustering with mixtures of regression models
7BBE3A9E	Controlling cooperative problem solving in industrial multi-agent systems using joint intentions
7AC51FC0	On the complexity of scheduling in wireless networks
7DDC25BC	Understanding TCP fairness over wireless LAN
804434E7	Fast algorithms for frequent itemset mining using FP-trees
77570760	A new approach to channel access scheduling for Ad Hoc networks
815CD2AF	Topic-sensitive PageRank
7ED6BDD0	Infinite latent feature models and the indian buffet process
7F174C56	Sketchpad: a man-machine graphical communication system
7FC0FEBD	Diversity-multiplexing tradeoff in multiple-access channels
801319BD	MIMO broadcast channels with finite rate feedback
8162E4AF	Generating query substitutions
59574AA3	Perfect nonlinear S-boxes
7EAE63CF	Quantization noise spectra
7C473058	Bayesian probabilistic matrix factorization using Markov chain Monte Carlo
7DF63952	The Zebra striped network file system
79C56783	LDA-based document models for ad-hoc retrieval
80526C62	Foundations of the C++ concurrency memory model
80FAF1B5	A solution to line routing problems on the continuous plane
689CF70E	Ridge Regression Learning Algorithm in Dual Variables
78546CC8	Predictive distance-based mobility management for PCS networks
5D32807D	Semantic Data Caching and Replacement
78AD5030	Generalized FLP impossibility result for t -resilient asynchronous computations
8034E614	On the computation of multidimensional aggregates
816062BB	Parametric shape analysis via 3-valued logic
7B6DCC72	Nonlinear estimation of PSK-modulated carrier phase with application to burst digital transmission
056CEDC1	Conflict-Driven Answer Set Solving
7E4AC1B0	The Bayou Architecture: Support for Data Sharing Among Mobile Users
596B785E	Complexity Compression and Evolution
7D4105A1	Gaussian multiaccess channels with ISI: capacity region and multiuser water-filling
802D3B6E	Supporting anonymous location queries in mobile environments with privacygrid
79C73A92	A comparison of join algorithms for log processing in MaPreduce
8163EEA5	A language with distributed scope
7D1F730E	Noiseless coding of correlated information sources
7ECEF404	Meme-tracking and the dynamics of the news cycle
7D514F4B	Transient fault detection via simultaneous multithreading
7E4933AE	Joint Design and Separation Principle for Opportunistic Spectrum Access in the Presence of Sensing Errors
7978E150	Dynamic itemset counting and implication rules for market basket data
7F576B01	Generalized Reed-Muller codes and power control in OFDM modulation
807C777C	GraphScope: parameter-free mining of large time-evolving graphs
80731A3F	Policy Gradient Methods for Reinforcement Learning with Function Approximation
5AB639C0	Cooperative Task Management Without Manual Stack Management
7DF3215C	Universally composable two-party and multi-party secure computation
7F6580C0	Blind identification and equalization based on second-order statistics: a time domain approach
802682ED	Evaluation of the Raw Microprocessor: An Exposed-Wire-Delay Architecture for ILP and Streams
60B8BA83	Row-diagonal parity for double disk failure correction
77153A2D	A face(book) in the crowd: social Searching vs. social browsing
7656C2A9	Qualitative navigation for mobile robots
803F493D	On the shape of a set of points in the plane
79CD76E7	Executing SQL over encrypted data in the database-service-provider model
5DE7DD97	Efficient and Effective Clustering Methods for Spatial Data Mining
7ADA3BFF	Outlier detection for high dimensional data
7FB44C9F	MaxProp: Routing for Vehicle-Based Disruption-Tolerant Networks
7CC79A41	Approximate distance oracles
80238EB2	Runtime power monitoring in high-end processors: methodology and empirical data
76F03592	Querying imprecise data in moving object environments
7CEA5F57	Minimum complexity density estimation
7F205F2A	Hierarchical Topic Models and the Nested Chinese Restaurant Process
7B33F3C9	Area-time complexity for VLSI
7F759EAF	Probabilistic skylines on uncertain data
80D7976C	Efficient visual event detection using volumetric features
